"","fw","rw","sum"
"1",0,106.65,106.65
"2",0,31.4,31.4
"3",0,31.4,31.4
"4",0,NA,NA
"5",30.1,0,30.1
"6",0,31.4,31.4
"7",0,31.4,31.4
"8",0,49.02,49.02
"9",0,7.85,7.85
"10",35.6,25.47,61.07
"11",0,7.85,7.85
"12",30.1,106.65,136.75
"13",0,31.4,31.4
"14",0,0,0
"15",0,0,0
"16",0,25.47,25.47
"17",0,7.85,7.85
"18",35.6,7.85,43.45
"19",35.6,7.85,43.45
"20",35.6,7.85,43.45
"21",0,7.85,7.85
"22",7.85,25.47,33.32
"23",0,49.02,49.02
"24",0,31.4,31.4
"25",7.85,25.47,33.32
"26",7.85,33.32,41.17
"27",7.85,25.47,33.32
"28",0,49.02,49.02
"29",7.85,33.32,41.17
"30",7.85,25.47,33.32
"31",492.45,1752.8,2245.25
"32",492.45,1752.8,2245.25
"33",492.45,1752.8,2245.25
"34",492.45,1752.8,2245.25
"35",7.85,31.4,39.25
"36",0,49.02,49.02
"37",37.95,49.02,86.97
"38",30.1,25.47,55.57
"39",0,106.65,106.65
"40",0,49.02,49.02
"41",0,7.85,7.85
"42",35.6,7.85,43.45
"43",0,15.7,15.7
"44",0,83.1,83.1
"45",131.4,7.85,139.25
"46",0,7.85,7.85
"47",0,7.85,7.85
"48",0,15.7,15.7
"49",0,15.7,15.7
"50",0,15.7,15.7
"51",0,15.7,15.7
"52",0,49.02,49.02
"53",7.85,33.32,41.17
"54",7.85,33.32,41.17
"55",0,49.02,49.02
"56",0,7.85,7.85
"57",0,7.85,7.85
"58",0,7.85,7.85
"59",0,15.7,15.7
"60",0,15.7,15.7
"61",0,107.44,107.44
"62",30.1,15.7,45.8
"63",0,7.85,7.85
"64",35.6,15.7,51.3
"65",7.85,83.1,90.95
"66",7.85,51.8,59.65
"67",0,NA,NA
"68",35.6,7.85,43.45
"69",30.1,25.47,55.57
"70",0,NA,NA
"71",0,33.32,33.32
"72",0,15.7,15.7
"73",0,28.25,28.25
"74",35.6,31.4,67
"75",0,33.32,33.32
"76",0,25.47,25.47
"77",0,83.89,83.89
"78",35.6,7.85,43.45
"79",35.6,7.85,43.45
"80",35.6,7.85,43.45
"81",35.6,7.85,43.45
"82",35.6,7.85,43.45
"83",35.6,7.85,43.45
"84",0,7.85,7.85
"85",0,49.02,49.02
"86",0,NA,NA
"87",0,25.47,25.47
"88",0,49.02,49.02
"89",7.85,91.74,99.59
"90",0,7.85,7.85
"91",0,7.85,7.85
"92",30.1,25.47,55.57
"93",43.45,7.85,51.3
"94",NA,33.32,NA
"95",0,7.85,7.85
"96",0,25.47,25.47
"97",0,31.4,31.4
"98",0,25.47,25.47
"99",0,7.85,7.85
"100",37.95,28.25,66.2
"101",0,7.85,7.85
"102",0,31.4,31.4
"103",0,33.32,33.32
"104",0,49.02,49.02
"105",0,33.32,33.32
"106",0,NA,NA
"107",0,49.02,49.02
"108",0,90.95,90.95
"109",0,31.4,31.4
"110",0,33.32,33.32
"111",0,25.47,25.47
"112",0,25.47,25.47
"113",7.85,25.47,33.32
"114",0,25.47,25.47
"115",0,25.47,25.47
"116",0,25.47,25.47
"117",35.6,7.85,43.45
"118",0,7.85,7.85
"119",37.95,31.4,69.35
"120",0,31.4,31.4
"121",0,31.4,31.4
"122",7.85,49.02,56.87
"123",0,90.95,90.95
"124",7.85,33.32,41.17
"125",37.95,31.4,69.35
"126",0,7.85,7.85
"127",0,75.25,75.25
"128",35.6,7.85,43.45
"129",35.6,7.85,43.45
"130",35.6,7.85,43.45
"131",35.6,7.85,43.45
"132",0,49.02,49.02
"133",0,83.89,83.89
"134",37.95,31.4,69.35
"135",0,7.85,7.85
"136",35.6,7.85,43.45
"137",NA,33.32,NA
"138",7.85,51.8,59.65
"139",35.6,49.02,84.62
"140",7.85,15.7,23.55
"141",7.85,31.4,39.25
"142",NA,NA,NA
"143",35.6,NA,NA
"144",0,15.7,15.7
"145",0,49.02,49.02
"146",0,49.02,49.02
"147",0,7.85,7.85
"148",0,7.85,7.85
"149",0,49.02,49.02
"150",0,7.85,7.85
"151",0,51.8,51.8
"152",30.1,7.85,37.95
"153",35.6,7.85,43.45
"154",7.85,NA,NA
"155",0,NA,NA
"156",0,31.4,31.4
"157",0,124.27,124.27
"158",7.85,49.02,56.87
"159",35.6,15.7,51.3
"160",0,7.85,7.85
"161",7.85,NA,NA
"162",0,NA,NA
"163",0,124.27,124.27
"164",43.45,NA,NA
"165",0,NA,NA
"166",0,7.85,7.85
"167",0,7.85,7.85
"168",0,53,53
"169",0,90.95,90.95
"170",0,7.85,7.85
"171",7.85,7.85,15.7
"172",35.6,31.4,67
"173",35.6,7.85,43.45
"174",35.6,7.85,43.45
"175",35.6,7.85,43.45
"176",0,49.02,49.02
"177",7.85,90.95,98.8
"178",30.1,31.4,61.5
"179",7.85,49.02,56.87
"180",7.85,7.85,15.7
"181",7.85,31.4,39.25
"182",0,31.4,31.4
"183",0,33.32,33.32
"184",0,31.4,31.4
"185",0,31.4,31.4
"186",0,108.57,108.57
"187",0,7.85,7.85
"188",0,25.47,25.47
"189",30.1,0,30.1
"190",30.1,NA,NA
"191",30.1,49.02,79.12
"192",0,53,53
"193",7.85,94.17,102.02
"194",0,31.4,31.4
"195",30.1,31.4,61.5
"196",0,33.32,33.32
"197",0,108.57,108.57
"198",0,33.32,33.32
"199",35.6,25.47,61.07
"200",35.6,25.47,61.07
"201",131.4,7.85,139.25
"202",0,7.85,7.85
"203",0,7.85,7.85
"204",0,15.7,15.7
"205",0,7.85,7.85
"206",7.85,83.1,90.95
"207",0,NA,NA
"208",0,31.4,31.4
"209",0,NA,NA
"210",0,NA,NA
"211",35.6,NA,NA
"212",43.45,15.7,59.15
"213",30.1,NA,NA
"214",30.1,NA,NA
"215",30.1,NA,NA
"216",131.4,31.4,162.8
"217",131.4,31.4,162.8
"218",0,7.85,7.85
"219",30.1,7.85,37.95
"220",0,7.85,7.85
"221",0,7.85,7.85
"222",0,31.4,31.4
"223",0,31.4,31.4
"224",0,7.85,7.85
"225",30.1,25.47,55.57
"226",7.85,31.4,39.25
"227",0,7.85,7.85
"228",0,31.4,31.4
"229",139.25,7.85,147.1
"230",0,31.4,31.4
"231",0,7.85,7.85
"232",7.85,182.69,190.54
"233",0,49.02,49.02
"234",7.85,31.4,39.25
"235",0,194.47,194.47
"236",0,NA,NA
"237",0,15.7,15.7
"238",0,NA,NA
"239",0,31.4,31.4
"240",0,NA,NA
"241",0,7.85,7.85
"242",0,7.85,7.85
"243",35.6,7.85,43.45
"244",0,15.7,15.7
"245",0,106.65,106.65
"246",35.6,25.47,61.07
"247",0,31.4,31.4
"248",0,25.47,25.47
"249",37.95,37.23,75.18
"250",0,33.32,33.32
"251",35.6,83.1,118.7
"252",7.85,28.25,36.1
"253",7.85,129.04,136.89
"254",7.85,33.32,41.17
"255",7.85,33.32,41.17
"256",35.6,7.85,43.45
"257",35.6,7.85,43.45
"258",35.6,7.85,43.45
"259",35.6,7.85,43.45
"260",131.4,15.7,147.1
"261",131.4,15.7,147.1
"262",30.1,NA,NA
"263",35.6,83.1,118.7
"264",0,NA,NA
"265",35.6,31.4,67
"266",0,33.32,33.32
"267",7.85,83.1,90.95
"268",0,15.7,15.7
"269",0,7.85,7.85
"270",0,31.4,31.4
"271",7.85,NA,NA
"272",0,7.85,7.85
"273",30.1,176.85,206.95
"274",0,NA,NA
"275",7.85,7.85,15.7
"276",0,7.85,7.85
"277",0,7.85,7.85
"278",30.1,NA,NA
"279",0,NA,NA
"280",0,NA,NA
"281",37.95,NA,NA
"282",7.85,NA,NA
"283",0,29.38,29.38
"284",7.85,49.02,56.87
"285",35.6,7.85,43.45
"286",0,7.85,7.85
"287",0,124.27,124.27
"288",0,NA,NA
"289",30.1,NA,NA
"290",0,NA,NA
"291",0,NA,NA
"292",0,NA,NA
"293",0,NA,NA
"294",0,NA,NA
"295",0,NA,NA
"296",0,31.4,31.4
"297",30.1,78.47,108.57
"298",7.85,33.32,41.17
"299",7.85,15.7,23.55
"300",7.85,33.32,41.17
"301",131.4,83.1,214.5
"302",35.6,49.02,84.62
"303",37.95,31.4,69.35
"304",30.1,31.4,61.5
"305",30.1,31.4,61.5
"306",0,49.02,49.02
"307",30.1,37.23,67.33
"308",0,49.02,49.02
"309",30.1,91.74,121.84
"310",30.1,31.4,61.5
"311",7.85,NA,NA
"312",329.85,617.52,947.37
"313",NA,617.52,NA
"314",NA,759.92,NA
"315",0,31.4,31.4
"316",0,112.48,112.48
"317",30.1,124.27,154.37
"318",0,7.85,7.85
"319",0,7.85,7.85
"320",30.1,49.02,79.12
"321",7.85,7.85,15.7
"322",35.6,NA,NA
"323",0,108.57,108.57
"324",0,25.47,25.47
"325",7.85,15.7,23.55
"326",0,7.85,7.85
"327",0,7.85,7.85
"328",0,83.1,83.1
"329",0,31.4,31.4
"330",0,31.4,31.4
"331",0,7.85,7.85
"332",0,15.7,15.7
"333",7.85,NA,NA
"334",0,15.7,15.7
"335",35.6,49.02,84.62
"336",30.1,7.85,37.95
"337",0,25.47,25.47
"338",0,31.4,31.4
"339",0,49.02,49.02
"340",0,7.85,7.85
"341",0,NA,NA
"342",0,7.85,7.85
"343",37.95,31.4,69.35
"344",0,90.95,90.95
"345",0,90.95,90.95
"346",37.95,31.4,69.35
"347",37.95,28.25,66.2
"348",0,7.85,7.85
"349",0,7.85,7.85
"350",0,31.4,31.4
"351",0,31.4,31.4
"352",0,222,222
"353",7.85,222,229.85
"354",0,245.55,245.55
"355",35.6,15.7,51.3
"356",0,NA,NA
"357",7.85,NA,NA
"358",0,7.85,7.85
"359",0,NA,NA
"360",7.85,NA,NA
"361",0,NA,NA
"362",0,36.1,36.1
"363",0,7.85,7.85
"364",0,83.1,83.1
"365",0,83.1,83.1
"366",0,25.47,25.47
"367",35.6,NA,NA
"368",0,31.4,31.4
"369",0,124.27,124.27
"370",7.85,NA,NA
"371",35.6,31.4,67
"372",37.95,49.02,86.97
"373",0,49.02,49.02
"374",37.95,20.4,58.35
"375",30.1,7.85,37.95
"376",0,NA,NA
"377",0,NA,NA
"378",0,NA,NA
"379",35.6,25.47,61.07
"380",30.1,7.85,37.95
"381",30.1,7.85,37.95
"382",30.1,15.7,45.8
"383",35.6,106.65,142.25
"384",0,15.7,15.7
"385",0,31.4,31.4
"386",37.95,7.85,45.8
"387",0,15.7,15.7
"388",0,NA,NA
"389",30.1,NA,NA
"390",35.6,NA,NA
"391",0,NA,NA
"392",0,NA,NA
"393",35.6,NA,NA
"394",0,NA,NA
"395",35.6,NA,NA
"396",30.1,NA,NA
"397",35.6,NA,NA
"398",43.45,NA,NA
"399",30.1,NA,NA
"400",0,NA,NA
"401",7.85,83.89,91.74
"402",0,49.02,49.02
"403",30.1,7.85,37.95
"404",7.85,83.1,90.95
"405",37.95,83.1,121.05
"406",35.6,7.85,43.45
"407",37.95,83.1,121.05
"408",0,25.47,25.47
"409",7.85,25.47,33.32
"410",0,33.32,33.32
"411",7.85,33.32,41.17
"412",37.95,49.02,86.97
"413",7.85,49.02,56.87
"414",7.85,49.02,56.87
"415",0,NA,NA
"416",0,7.85,7.85
"417",0,7.85,7.85
"418",0,7.85,7.85
"419",0,31.4,31.4
"420",0,31.4,31.4
"421",0,31.4,31.4
"422",0,31.4,31.4
"423",0,31.4,31.4
"424",0,83.1,83.1
"425",0,7.85,7.85
"426",0,7.85,7.85
"427",7.85,83.1,90.95
"428",0,7.85,7.85
"429",0,83.1,83.1
"430",0,31.4,31.4
"431",0,31.4,31.4
"432",0,31.4,31.4
"433",30.1,31.4,61.5
"434",0,245.55,245.55
"435",7.85,NA,NA
"436",7.85,NA,NA
"437",0,NA,NA
"438",35.6,NA,NA
"439",30.1,15.7,45.8
"440",0,49.02,49.02
"441",0,83.1,83.1
"442",0,7.85,7.85
"443",30.1,45.08,75.18
"444",35.6,NA,NA
"445",35.6,NA,NA
"446",0,NA,NA
"447",35.6,NA,NA
"448",30.1,NA,NA
"449",0,NA,NA
"450",30.1,37.23,67.33
"451",0,33.32,33.32
"452",NA,25.47,NA
"453",0,25.47,25.47
"454",7.85,NA,NA
"455",0,NA,NA
"456",0,NA,NA
"457",0,NA,NA
"458",0,7.85,7.85
"459",30.1,NA,NA
"460",7.85,NA,NA
"461",0,NA,NA
"462",0,31.4,31.4
"463",0,25.47,25.47
"464",0,7.85,7.85
"465",0,7.85,7.85
"466",0,7.85,7.85
"467",0,83.1,83.1
"468",0,31.4,31.4
"469",0,31.4,31.4
"470",0,31.4,31.4
"471",0,31.4,31.4
"472",0,31.4,31.4
"473",0,31.4,31.4
"474",0,31.4,31.4
"475",0,NA,NA
"476",0,NA,NA
"477",0,NA,NA
"478",0,NA,NA
"479",0,25.47,25.47
"480",0,31.4,31.4
"481",0,31.4,31.4
"482",30.1,106.65,136.75
"483",0,7.85,7.85
"484",7.85,15.7,23.55
"485",0,31.4,31.4
"486",0,31.4,31.4
"487",7.85,NA,NA
"488",7.85,NA,NA
"489",7.85,NA,NA
"490",0,90.95,90.95
"491",0,NA,NA
"492",0,NA,NA
"493",7.85,25.47,33.32
"494",30.1,25.47,55.57
"495",43.45,25.47,68.92
"496",0,NA,NA
"497",0,NA,NA
"498",0,60.78,60.78
"499",0,7.85,7.85
"500",7.85,78.47,86.32
"501",0,NA,NA
"502",0,NA,NA
"503",30.1,107.44,137.54
"504",30.1,NA,NA
"505",35.6,NA,NA
"506",35.6,NA,NA
"507",0,NA,NA
"508",0,49.02,49.02
"509",35.6,7.85,43.45
"510",35.6,7.85,43.45
"511",0,83.1,83.1
"512",0,NA,NA
"513",0,31.4,31.4
"514",0,31.4,31.4
"515",0,7.85,7.85
"516",NA,NA,NA
"517",7.85,NA,NA
"518",7.85,NA,NA
"519",7.85,NA,NA
"520",0,NA,NA
"521",30.1,NA,NA
"522",0,245.55,245.55
"523",30.1,NA,NA
"524",0,31.4,31.4
"525",7.85,25.47,33.32
"526",30.1,31.4,61.5
"527",0,31.4,31.4
"528",0,7.85,7.85
"529",37.95,NA,NA
"530",0,NA,NA
"531",0,NA,NA
"532",0,NA,NA
"533",0,31.4,31.4
"534",7.85,49.02,56.87
"535",7.85,49.02,56.87
"536",30.1,NA,NA
"537",7.85,NA,NA
"538",35.6,31.4,67
"539",7.85,49.02,56.87
"540",0,49.02,49.02
"541",37.95,83.89,121.84
"542",37.95,49.02,86.97
"543",0,106.65,106.65
"544",0,31.4,31.4
"545",35.6,7.85,43.45
"546",0,25.47,25.47
"547",7.85,NA,NA
"548",0,53,53
"549",30.1,31.4,61.5
"550",30.1,25.47,55.57
"551",0,15.7,15.7
"552",30.1,31.4,61.5
"553",139.25,33.32,172.57
"554",0,7.85,7.85
"555",0,83.89,83.89
"556",30.1,25.47,55.57
"557",0,NA,NA
"558",0,NA,NA
"559",7.85,33.32,41.17
"560",7.85,15.7,23.55
"561",0,NA,NA
"562",0,31.4,31.4
"563",0,83.1,83.1
"564",0,83.1,83.1
"565",0,83.1,83.1
"566",0,83.1,83.1
"567",0,31.4,31.4
"568",30.1,7.85,37.95
"569",0,51.8,51.8
"570",0,7.85,7.85
"571",0,31.4,31.4
"572",0,94.17,94.17
"573",0,NA,NA
"574",35.6,15.7,51.3
"575",7.85,31.4,39.25
"576",37.95,31.4,69.35
"577",0,NA,NA
"578",7.85,NA,NA
"579",0,NA,NA
"580",0,NA,NA
"581",0,124.27,124.27
"582",7.85,NA,NA
"583",0,15.7,15.7
"584",0,106.65,106.65
"585",0,7.85,7.85
"586",30.1,25.47,55.57
"587",0,15.7,15.7
"588",0,7.85,7.85
"589",0,31.4,31.4
"590",0,15.7,15.7
"591",0,7.85,7.85
"592",30.1,31.4,61.5
"593",0,7.85,7.85
"594",0,49.02,49.02
"595",0,31.4,31.4
"596",0,31.4,31.4
"597",35.6,25.47,61.07
"598",0,NA,NA
"599",131.4,90.95,222.35
"600",7.85,182.69,190.54
"601",30.1,NA,NA
"602",0,NA,NA
"603",30.1,31.4,61.5
"604",0,7.85,7.85
"605",0,NA,NA
"606",30.1,7.85,37.95
"607",0,31.4,31.4
"608",0,NA,NA
"609",0,NA,NA
"610",0,7.85,7.85
"611",7.85,49.02,56.87
"612",30.1,25.47,55.57
"613",30.1,78.47,108.57
"614",35.6,31.4,67
"615",35.6,7.85,43.45
"616",0,25.47,25.47
"617",0,31.4,31.4
"618",0,49.02,49.02
"619",0,7.85,7.85
"620",0,31.4,31.4
"621",0,7.85,7.85
"622",35.6,NA,NA
"623",0,NA,NA
"624",30.1,NA,NA
"625",35.6,7.85,43.45
"626",37.95,83.1,121.05
"627",37.95,49.02,86.97
"628",0,31.4,31.4
"629",7.85,NA,NA
"630",0,NA,NA
"631",0,NA,NA
"632",0,7.85,7.85
"633",35.6,7.85,43.45
"634",0,49.02,49.02
"635",0,7.85,7.85
"636",7.85,7.85,15.7
"637",7.85,NA,NA
"638",0,7.85,7.85
"639",0,7.85,7.85
"640",30.1,31.4,61.5
"641",0,7.85,7.85
"642",43.45,NA,NA
"643",30.1,7.85,37.95
"644",0,15.7,15.7
"645",0,70.62,70.62
"646",30.1,25.47,55.57
"647",30.1,NA,NA
"648",0,NA,NA
"649",0,25.47,25.47
"650",0,7.85,7.85
"651",0,NA,NA
"652",3.92,15.7,19.62
"653",30.1,38.24,68.34
"654",0,7.85,7.85
"655",0,31.4,31.4
"656",0,7.85,7.85
"657",0,7.85,7.85
"658",0,NA,NA
"659",0,NA,NA
"660",37.95,NA,NA
"661",0,7.85,7.85
"662",7.85,25.47,33.32
"663",7.85,NA,NA
"664",0,NA,NA
"665",0,NA,NA
"666",7.85,33.32,41.17
"667",7.85,7.85,15.7
"668",0,7.85,7.85
"669",30.1,7.85,37.95
"670",0,31.4,31.4
"671",0,31.4,31.4
"672",30.1,31.4,61.5
"673",43.45,49.02,92.47
"674",7.85,83.89,91.74
"675",7.85,107.44,115.29
"676",0,NA,NA
"677",7.85,31.4,39.25
"678",0,7.85,7.85
"679",30.1,1004.75,1034.85
"680",0,7.85,7.85
"681",0,105.93,105.93
"682",0,7.85,7.85
"683",0,25.47,25.47
"684",35.6,7.85,43.45
"685",35.6,25.47,61.07
"686",7.85,7.85,15.7
"687",0,7.85,7.85
"688",35.6,37.23,72.83
"689",7.85,49.02,56.87
"690",0,NA,NA
"691",0,NA,NA
"692",0,NA,NA
"693",0,NA,NA
"694",0,NA,NA
"695",0,NA,NA
"696",0,NA,NA
"697",0,NA,NA
"698",0,NA,NA
"699",0,NA,NA
"700",0,49.02,49.02
"701",7.85,NA,NA
"702",0,15.7,15.7
"703",0,15.7,15.7
"704",35.6,NA,NA
"705",7.85,15.7,23.55
"706",0,NA,NA
"707",0,NA,NA
"708",7.85,7.85,15.7
"709",0,15.7,15.7
"710",37.95,31.4,69.35
"711",0,106.65,106.65
"712",30.1,49.02,79.12
"713",30.1,49.02,79.12
"714",0,49.02,49.02
"715",30.1,60.78,90.88
"716",30.1,60.78,90.88
"717",30.1,91.74,121.84
"718",30.1,49.02,79.12
"719",7.85,NA,NA
"720",0,NA,NA
"721",7.85,NA,NA
"722",7.85,NA,NA
"723",NA,759.92,NA
"724",NA,759.92,NA
"725",NA,759.92,NA
"726",NA,759.92,NA
"727",30.1,60.78,90.88
"728",0,7.85,7.85
"729",0,7.85,7.85
"730",0,NA,NA
"731",7.85,NA,NA
"732",0,NA,NA
"733",7.85,51.8,59.65
"734",0,25.47,25.47
"735",0,NA,NA
"736",0,NA,NA
"737",0,NA,NA
"738",0,NA,NA
"739",131.4,25.47,156.87
"740",0,NA,NA
"741",0,31.4,31.4
"742",7.85,NA,NA
"743",0,NA,NA
"744",0,7.85,7.85
"745",0,33.32,33.32
"746",30.1,7.85,37.95
"747",0,51.8,51.8
"748",0,31.4,31.4
"749",7.85,15.7,23.55
"750",37.95,49.02,86.97
"751",7.85,7.85,15.7
"752",0,NA,NA
"753",0,7.85,7.85
"754",7.85,33.32,41.17
"755",0,49.02,49.02
"756",7.85,NA,NA
"757",7.85,NA,NA
"758",7.85,NA,NA
"759",0,NA,NA
"760",30.1,78.47,108.57
"761",37.95,31.4,69.35
"762",37.95,31.4,69.35
"763",37.95,31.4,69.35
"764",0,31.4,31.4
"765",7.85,83.1,90.95
"766",7.85,83.1,90.95
"767",7.85,7.85,15.7
"768",0,7.85,7.85
"769",0,31.4,31.4
"770",30.1,31.4,61.5
"771",37.95,28.25,66.2
"772",37.95,28.25,66.2
"773",0,7.85,7.85
"774",0,7.85,7.85
"775",0,7.85,7.85
"776",0,7.85,7.85
"777",0,49.02,49.02
"778",0,15.7,15.7
"779",7.85,49.02,56.87
"780",35.6,15.7,51.3
"781",0,7.85,7.85
"782",7.85,NA,NA
"783",7.85,NA,NA
"784",0,NA,NA
"785",0,NA,NA
"786",0,NA,NA
"787",0,31.4,31.4
"788",0,124.27,124.27
"789",37.95,NA,NA
"790",0,NA,NA
"791",7.85,49.02,56.87
"792",7.85,NA,NA
"793",7.85,NA,NA
"794",0,7.85,7.85
"795",35.6,7.85,43.45
"796",0,7.85,7.85
"797",0,15.7,15.7
"798",0,36.1,36.1
"799",0,31.4,31.4
"800",0,15.7,15.7
"801",0,49.02,49.02
"802",0,31.4,31.4
"803",35.6,NA,NA
"804",30.1,NA,NA
"805",0,NA,NA
"806",35.6,NA,NA
"807",30.1,NA,NA
"808",30.1,NA,NA
"809",35.6,NA,NA
"810",35.6,NA,NA
"811",0,NA,NA
"812",35.6,NA,NA
"813",0,NA,NA
"814",35.6,NA,NA
"815",0,15.7,15.7
"816",0,7.85,7.85
"817",7.85,15.7,23.55
"818",0,49.02,49.02
"819",0,49.02,49.02
"820",0,49.02,49.02
"821",30.1,37.23,67.33
"822",7.85,7.85,15.7
"823",37.95,83.1,121.05
"824",0,31.4,31.4
"825",7.85,33.32,41.17
"826",37.95,49.02,86.97
"827",37.95,49.02,86.97
"828",7.85,49.02,56.87
"829",0,NA,NA
"830",0,NA,NA
"831",0,7.85,7.85
"832",0,31.4,31.4
"833",0,31.4,31.4
"834",0,31.4,31.4
"835",0,7.85,7.85
"836",0,7.85,7.85
"837",0,7.85,7.85
"838",0,31.4,31.4
"839",0,31.4,31.4
"840",0,NA,NA
"841",0,NA,NA
"842",0,60.78,60.78
"843",0,15.7,15.7
"844",30.1,106.65,136.75
"845",0,31.4,31.4
"846",0,7.85,7.85
"847",0,NA,NA
"848",0,49.02,49.02
"849",0,NA,NA
"850",0,NA,NA
"851",43.45,NA,NA
"852",0,NA,NA
"853",0,7.85,7.85
"854",0,15.7,15.7
"855",0,7.85,7.85
"856",0,NA,NA
"857",0,83.89,83.89
"858",0,NA,NA
"859",30.1,NA,NA
"860",30.1,91.74,121.84
"861",0,31.4,31.4
"862",0,NA,NA
"863",35.6,NA,NA
"864",35.6,NA,NA
"865",35.6,NA,NA
"866",0,NA,NA
"867",0,49.02,49.02
"868",43.45,15.7,59.15
"869",7.85,83.1,90.95
"870",37.95,83.1,121.05
"871",37.95,49.02,86.97
"872",7.85,49.02,56.87
"873",0,33.32,33.32
"874",0,7.85,7.85
"875",0,NA,NA
"876",0,15.7,15.7
"877",0,31.4,31.4
"878",0,31.4,31.4
"879",30.1,15.7,45.8
"880",43.45,7.85,51.3
"881",0,7.85,7.85
"882",0,7.85,7.85
"883",0,7.85,7.85
"884",0,NA,NA
"885",0,NA,NA
"886",43.45,NA,NA
"887",35.6,NA,NA
"888",35.6,NA,NA
"889",0,NA,NA
"890",37.95,NA,NA
"891",7.85,25.47,33.32
"892",37.95,NA,NA
"893",0,7.85,7.85
"894",0,7.85,7.85
"895",0,83.1,83.1
"896",7.85,107.44,115.29
"897",0,49.02,49.02
"898",7.85,83.1,90.95
"899",0,15.7,15.7
"900",0,60.85,60.85
"901",0,NA,NA
"902",30.1,25.47,55.57
"903",35.6,NA,NA
"904",0,NA,NA
"905",0,NA,NA
"906",7.85,31.4,39.25
"907",35.6,7.85,43.45
"908",0,70.62,70.62
"909",7.85,15.7,23.55
"910",0,7.85,7.85
"911",30.1,25.47,55.57
"912",0,7.85,7.85
"913",7.85,NA,NA
"914",0,NA,NA
"915",37.95,31.4,69.35
"916",0,83.1,83.1
"917",0,31.4,31.4
"918",0,51.8,51.8
"919",0,7.85,7.85
"920",30.1,222,252.1
"921",0,176.85,176.85
"922",0,33.32,33.32
"923",0,33.32,33.32
"924",0,NA,NA
"925",0,NA,NA
"926",0,NA,NA
"927",0,NA,NA
"928",7.85,NA,NA
"929",7.85,NA,NA
"930",0,49.02,49.02
"931",0,49.02,49.02
"932",0,7.85,7.85
"933",0,NA,NA
"934",0,15.7,15.7
"935",0,176.85,176.85
"936",0,NA,NA
"937",0,31.4,31.4
"938",0,124.27,124.27
"939",0,NA,NA
"940",0,NA,NA
"941",0,NA,NA
"942",0,31.4,31.4
"943",0,124.27,124.27
"944",7.85,49.02,56.87
"945",7.85,49.02,56.87
"946",30.1,NA,NA
"947",7.85,NA,NA
"948",7.85,NA,NA
"949",0,31.4,31.4
"950",0,7.85,7.85
"951",30.1,45.08,75.18
"952",30.1,15.7,45.8
"953",0,124.27,124.27
"954",0,78.47,78.47
"955",0,83.1,83.1
"956",0,7.85,7.85
"957",0,31.4,31.4
"958",30.1,49.02,79.12
"959",30.1,15.7,45.8
"960",0,NA,NA
"961",7.85,NA,NA
"962",7.85,NA,NA
"963",30.1,31.4,61.5
"964",0,NA,NA
"965",0,NA,NA
"966",35.6,31.4,67
"967",0,15.7,15.7
"968",0,15.7,15.7
"969",0,15.7,15.7
"970",0,107.41,107.41
"971",0,107.41,107.41
"972",0,107.41,107.41
"973",0,107.41,107.41
"974",0,107.41,107.41
"975",0,107.41,107.41
"976",43.45,31.4,74.85
"977",0,7.85,7.85
"978",0,7.85,7.85
"979",0,7.85,7.85
"980",35.6,7.85,43.45
"981",35.6,7.85,43.45
"982",35.6,7.85,43.45
"983",35.6,49.02,84.62
"984",0,33.32,33.32
"985",0,33.32,33.32
"986",0,49.02,49.02
"987",0,49.02,49.02
"988",0,53,53
"989",35.6,7.85,43.45
"990",0,33.32,33.32
"991",0,60.78,60.78
"992",0,60.78,60.78
"993",0,60.78,60.78
"994",7.85,76.55,84.4
"995",0,33.32,33.32
"996",0,28.25,28.25
"997",0,53,53
"998",0,53,53
"999",35.6,49.02,84.62
"1000",0,33.32,33.32
"1001",0,33.32,33.32
"1002",43.45,31.4,74.85
"1003",0,49.02,49.02
"1004",139.25,33.32,172.57
"1005",139.25,33.32,172.57
"1006",0,7.85,7.85
"1007",0,7.85,7.85
"1008",0,152.59,152.59
"1009",0,152.59,152.59
"1010",30.1,31.4,61.5
"1011",30.1,31.4,61.5
"1012",0,152.59,152.59
"1013",0,60.78,60.78
"1014",0,60.78,60.78
"1015",0,83.1,83.1
"1016",0,7.85,7.85
"1017",0,28.25,28.25
"1018",0,33.32,33.32
"1019",0,33.32,33.32
"1020",0,33.32,33.32
"1021",0,49.02,49.02
"1022",0,49.02,49.02
"1023",0,49.02,49.02
"1024",0,49.02,49.02
"1025",0,28.25,28.25
"1026",0,7.85,7.85
"1027",0,33.32,33.32
"1028",0,33.32,33.32
"1029",35.6,15.7,51.3
"1030",0,83.1,83.1
"1031",30.1,7.85,37.95
"1032",30.1,7.85,37.95
"1033",30.1,7.85,37.95
"1034",35.6,15.7,51.3
"1035",0,28.25,28.25
"1036",0,28.25,28.25
"1037",0,83.1,83.1
"1038",30.1,45.08,75.18
"1039",35.6,15.7,51.3
"1040",139.25,33.32,172.57
"1041",139.25,33.32,172.57
"1042",0,49.02,49.02
"1043",0,41.6,41.6
"1044",0,124.27,124.27
"1045",30.1,45.08,75.18
"1046",30.1,45.08,75.18
"1047",0,49.02,49.02
"1048",0,49.02,49.02
"1049",139.25,33.32,172.57
